flour,eggs,sugar,milk,butter,baking_powder,type
309.0,3,1200.0,209.0,283.75,6.56,cupcake
136.0,309,1000.0,80.0,113.5,1.87,cupcake
209.0,3,1200.0,209.0,283.75,6.56,cupcake
136.0,3,775.0,30.0,283.75,7.5,cupcake
204.0,2,1000.0,120.0,340.5,6.56,cupcake
181.33,2,825.0,45.0,227.0,0.94,cupcake
110.5,2,333.33,120.0,170.25,1.87,cupcake
110.5,2,333.33,120.0,170.25,1.87,cupcake
238.0,1,900.0,180.0,170.25,5.62,cupcake
272.0,2,1000.0,240.0,56.75,7.5,cupcake
272.0,3,1000.0,150.0,113.5,5.62,cupcake
204.0,2,800.0,15.0,113.5,7.5,cupcake
340.0,2,1150.0,160.0,198.63,3.75,cupcake
306.0,2,866.67,180.0,170.25,11.25,cupcake
272.0,4,850.0,60.0,170.25,7.5,cupcake
153.0,1,225.0,240.0,113.5,3.75,cupcake
238.0,4,300.0,420.0,170.25,3.75,cupcake
238.0,3,550.0,60.0,264.83,7.5,cupcake
340.0,3,700.0,240.0,283.75,11.25,cupcake
170.0,4,200.0,180.0,227.0,3.75,cupcake
209.0,3,1200.0,209.0,283.75,6.56,cupcake
309.0,3,1200.0,209.0,283.75,6.56,cupcake
